q	Afinidade
0.1	0.002
0.2	0.006
0.3	0.011
0.4	0.017
0.5	0.023
0.6	0.031
0.7	0.041
0.8	0.051
0.9	0.065
1.0	0.082
1.2	0.130
1.4	0.206
1.6	0.333
1.8	0.515
2.0	0.646
2.2	0.714
2.4	0.754
2.6	0.781
2.8	0.803
3.0	0.819
3.2	0.832
3.4	0.849
3.6	0.861
3.8	0.871
4.0	0.880
4.2	0.887
4.4	0.891
4.6	0.898
4.8	0.903
5.0	0.911
5.2	0.914
5.4	0.920
5.6	0.928
5.8	0.927
6.0	0.930
6.2	0.935
6.4	0.941
6.6	0.935
6.8	0.935
7.0	0.941
7.2	0.946
7.4	0.951
7.6	0.955
7.8	0.957
8.0	0.960
8.2	0.956
8.4	0.952
8.6	0.951
8.8	0.960
9.0	0.963
9.2	0.959
9.4	0.962
9.6	0.964
9.8	0.966
10.0	0.964
