q	Derivada
0.15	0.05952
0.25	0.05291
0.35	0.07937
0.45	0.07275
0.55	0.09921
0.65	0.09921
0.75	0.13228
0.85	0.16534
0.95	0.19841
1.10	0.29101
1.30	0.46296
1.50	0.65807
1.70	0.68122
1.90	0.51587
2.10	0.31746
2.30	0.23148
2.50	0.12897
2.70	0.13889
2.90	0.09590
3.10	0.09259
3.30	0.06944
3.50	0.05291
3.70	0.06283
3.90	0.05622
4.10	0.03968
4.30	0.04630
4.50	0.02315
4.70	0.02646
4.90	0.02315
5.10	0.02646
5.30	0.02315
5.50	0.05622
5.70	-0.02646
5.90	0.01323
6.10	0.03307
6.30	0.02646
6.50	0.00661
6.70	0.02315
6.90	-0.02976
7.10	0.05291
7.30	-0.01323
7.50	0.03307
7.70	-0.00661
7.90	0.00992
8.10	0.01653
8.30	0.01984
8.50	-0.01653
8.70	-0.00331
8.90	0.00331
9.10	-0.01323
9.30	0.04960
9.50	0.00661
9.70	0.00992
9.90	0.00661
